Team,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Ancona,,,,,18,,,,,,,,,,,,,,
Ascoli,,,,,,,10,19,,,,,,,,,,,
Atalanta,,7,9,15,,20,,8,9,11,18,,12,15,11,17,13,4,10
Benevento,,,,,,,,,,,,,,,,,,,20
Bari,14,18,,,,,,,,,10,20,,,,,,,
Bologna,11,10,7,11,12,18,,,,17,17,16,9,13,19,,14,15,8
Brescia,,8,13,9,11,19,,,,,,19,,,,,,,
Cagliari,17,,,,,12,14,17,14,9,16,,15,11,15,18,,11,13
Carpi,,,,,,,,,,,,,,,,,18,,
Catania,,,,,,,,13,17,15,13,13,11,8,18,,,,
Cesena,,,,,,,,,,,,14,20,,,19,,,
Chievo,,,5,7,9,15,4,18,,16,14,11,10,12,16,14,9,14,9
Como,,,,17,,,,,,,,,,,,,,,
Crotone,,,,,,,,,,,,,,,,,,17,15
Empoli,,,,13,17,,8,7,18,,,,,,,15,10,18,
Fiorentina,7,9,17,,,16,9,6,4,4,11,9,13,4,4,4,5,8,12
Frosinone,,,,,,,,,,,,,,,,,19,,
Genoa,,,,,,,,,10,5,9,10,17,17,14,6,11,16,17
Inter,4,5,3,2,4,3,1,1,1,1,1,2,6,9,5,8,4,7,2
Juventus,2,2,1,1,3,1,20,,3,2,7,7,1,1,1,1,1,1,3
Lazio,1,3,6,4,6,10,16,3,12,10,12,5,,7,9,3,8,5,5
Lecce,13,13,16,,10,11,18,,,20,,17,18,,,,,,
Livorno,,,,,,9,6,11,20,,20,,4,,20,,,,
Messina,,,,,,7,17,20,,,,,,,,,,,
Milan,3,6,4,3,1,2,3,4,5,3,3,1,2,3,8,10,7,6,7
Modena,,,,12,16,,,,,,,,,,,,,,
Napoli,,17,,,,,,,8,12,6,3,5,2,3,5,2,3,1
Novara,,,,,,,,,,,,,19,,,,,,
Palermo,,,,,,6,5,5,11,8,5,8,16,18,,11,16,19,
Parma,5,4,10,5,5,17,7,12,19,,8,12,8,10,6,20,,,
Perugia,10,11,8,10,15,,,,,,,,,,,,,,
Pescara,,,,,,,,,,,,,,20,,,,20,
Piacenza,18,,12,16,,,,,,,,,,,,,,,
Reggina,12,14,,14,13,13,13,14,16,19,,,,,,,,,
Roma,6,1,2,8,2,8,2,2,2,6,2,6,7,6,2,2,3,2,4
Torino,15,,11,18,,,,16,15,18,,,,16,7,9,12,9,11
Treviso,,,,,,,19,,,,,,,,,,,,
Sampdoria,,,,,8,5,12,9,6,13,4,18,,14,12,7,15,10,6
Sassuolo,,,,,,,,,,,,,,,17,12,6,12,16
Siena,,,,,14,14,15,15,13,14,19,,14,19,,,,,
Spal,,,,,,,,,,,,,,,,,,,18
Udinese,8,12,14,6,7,4,11,10,7,7,15,4,3,5,13,16,17,13,14
Venezia,16,,18,,,,,,,,,,,,,,,,
Verona,9,15,15,,,,,,,,,,,,10,13,20,,19
Vicenza,,,16,,,,,,,,,,,,,,,,
